Symbol	Name	LastSale	MarketCap	ADR TSO	IPOyear	Sector	Industry	Summary Quote
STLD	Steel Dynamics, Inc.	29.87	6638462391.54	n/a	1996	Basic Industries	Steel/Iron Ore	https://www.nasdaq.com/symbol/stld
RGLD	Royal Gold, Inc.	101.26	6634521176.64	n/a	n/a	Basic Industries	Precious Metals	https://www.nasdaq.com/symbol/rgld
FIVE	Five Below, Inc.	118.42	6626884567.52	n/a	2012	Consumer Services	Department/Specialty Retail Stores	https://www.nasdaq.com/symbol/five
IUSG	iShares Core S&P U.S. Growth ETF	62.4	6623760000	n/a	n/a	n/a	n/a	https://www.nasdaq.com/symbol/iusg
BLUE	bluebird bio, Inc.	119.92	6610380859.52	n/a	2013	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)	https://www.nasdaq.com/symbol/blue
DNKN	Dunkin&#39; Brands Group, Inc.	79.96	6608331621.28	n/a	2011	Consumer Services	Restaurants	https://www.nasdaq.com/symbol/dnkn
IGIB	iShares Intermediate-Term Corporate Bond ETF	56.78	6555251000	n/a	n/a	n/a	n/a	https://www.nasdaq.com/symbol/igib
CONE	CyrusOne Inc	57.75	6535739190.75	n/a	2013	Consumer Services	Real Estate Investment Trusts	https://www.nasdaq.com/symbol/cone
PBCT	People&#39;s United Financial, Inc.	16.36	6517176831.12	n/a	n/a	Finance	Savings Institutions	https://www.nasdaq.com/symbol/pbct
FSLR	First Solar, Inc.	61.76	6506612705.6	n/a	2006	Technology	Semiconductors	https://www.nasdaq.com/symbol/fslr
EWBC	East West Bancorp, Inc.	44.66	6500062476.6	n/a	n/a	Finance	Major Banks	https://www.nasdaq.com/symbol/ewbc
MSG	The Madison Square Garden Company	272.47	6473481219.7	n/a	2015	Consumer Services	Services-Misc. Amusement & Recreation	https://www.nasdaq.com/symbol/msg
LPLA	LPL Financial Holdings Inc.	77.18	6439477565.66	n/a	2010	Finance	Investment Bankers/Brokers/Service	https://www.nasdaq.com/symbol/lpla
SBNY	Signature Bank	116.64	6426376678.08	n/a	2004	Finance	Major Banks	https://www.nasdaq.com/symbol/sbny
EXEL	Exelixis, Inc.	21.14	6379361905.84	n/a	2000	Health Care	Biotechnology: Commercial Physical & Biological Resarch	https://www.nasdaq.com/symbol/exel
LOGI	Logitech International S.A.	38.21	6365730442.66	n/a	1997	Technology	Computer peripheral equipment	https://www.nasdaq.com/symbol/logi
CBSH	Commerce Bancshares, Inc.	57.17	6317732698.27	n/a	n/a	Finance	Major Banks	https://www.nasdaq.com/symbol/cbsh
PRAH	PRA Health Sciences, Inc.	95.96	6300974651.52	n/a	2014	Health Care	Biotechnology: Commercial Physical & Biological Resarch	https://www.nasdaq.com/symbol/prah
NWL	Newell Brands Inc.	14.85	6283035000	n/a	n/a	Consumer Non-Durables	Plastic Products	https://www.nasdaq.com/symbol/nwl
PPC	Pilgrim&#39;s Pride Corporation	25.18	6280390941.7	n/a	n/a	Consumer Non-Durables	Meat/Poultry/Fish	https://www.nasdaq.com/symbol/ppc
RYAAY	Ryanair Holdings plc	62.23	6274388102.71	100825777	1997	Transportation	Air Freight/Delivery Services	https://www.nasdaq.com/symbol/ryaay
GNTX	Gentex Corporation	24.34	6220857799.12	n/a	n/a	Capital Goods	Auto Parts:O.E.M.	https://www.nasdaq.com/symbol/gntx
SABR	Sabre Corporation	22.61	6211224437.46	n/a	2014	Technology	Computer Software: Programming, Data Processing	https://www.nasdaq.com/symbol/sabr
PFPT	Proofpoint, Inc.	111.22	6192156260.9	n/a	2012	Technology	EDP Services	https://www.nasdaq.com/symbol/pfpt
TRIP	TripAdvisor, Inc.	44.51	6188181546.67	n/a	n/a	Technology	Computer Software: Programming, Data Processing	https://www.nasdaq.com/symbol/trip
VTIP	Vanguard Short-Term Inflation-Protected Securities Index Fund	49.25	6187052969.25	n/a	n/a	n/a	n/a	https://www.nasdaq.com/symbol/vtip
GLIBA	GCI Liberty, Inc.	60.36	6101119808.52	n/a	n/a	Public Utilities	Telecommunications Equipment	https://www.nasdaq.com/symbol/gliba
MLNX	Mellanox Technologies, Ltd.	111	6082227018	n/a	2007	Technology	Semiconductors	https://www.nasdaq.com/symbol/mlnx
Z	Zillow Group, Inc.	43.02	6050051578.26	n/a	n/a	Miscellaneous	Business Services	https://www.nasdaq.com/symbol/z
NKTR	Nektar Therapeutics	34.62	6034508166.9	n/a	n/a	Health Care	Major Pharmaceuticals	https://www.nasdaq.com/symbol/nktr
MORN	Morningstar, Inc.	141.19	6022560118.47	n/a	2005	Finance	Investment Managers	https://www.nasdaq.com/symbol/morn
VNQI	Vanguard Global ex-U.S. Real Estate ETF	59	5956780715	n/a	n/a	n/a	n/a	https://www.nasdaq.com/symbol/vnqi
AMRN	Amarin Corporation plc	18.17	5951941812.4	327569720	n/a	Health Care	Major Pharmaceuticals	https://www.nasdaq.com/symbol/amrn
CDK	CDK Global, Inc.	48.05	5844492990.45	n/a	n/a	Miscellaneous	Business Services	https://www.nasdaq.com/symbol/cdk
CREE	Cree, Inc.	55.15	5804440656.6	n/a	1993	Technology	Semiconductors	https://www.nasdaq.com/symbol/cree
NICE	NICE Ltd	138.07	5793708665.77	41962111	n/a	Technology	Computer Manufacturing	https://www.nasdaq.com/symbol/nice
LOPE	Grand Canyon Education, Inc.	118.16	5701008729.92	n/a	2008	Consumer Services	Other Consumer Services	https://www.nasdaq.com/symbol/lope
CASY	Caseys General Stores, Inc.	154.66	5665298958.22	n/a	1983	Consumer Durables	Automotive Aftermarket	https://www.nasdaq.com/symbol/casy
MDSO	Medidata Solutions, Inc.	90.7	5651302766.6	n/a	2009	Technology	Computer Software: Prepackaged Software	https://www.nasdaq.com/symbol/mdso
TIGO	Millicom International Cellular S.A.	55.56	5616504840	n/a	n/a	Public Utilities	Telecommunications Equipment	https://www.nasdaq.com/symbol/tigo
IUSV	iShares Core S&P U.S. Value ETF	55.91	5585409000	n/a	n/a	n/a	n/a	https://www.nasdaq.com/symbol/iusv
PEGA	Pegasystems Inc.	70.51	5563809637.43	n/a	1996	Technology	EDP Services	https://www.nasdaq.com/symbol/pega
NTRSP	Northern Trust Corporation	25.52	5555106551.28	n/a	n/a	Finance	Major Banks	https://www.nasdaq.com/symbol/ntrsp
JBLU	JetBlue Airways Corporation	18.31	5510335999.55	n/a	2002	Transportation	Air Freight/Delivery Services	https://www.nasdaq.com/symbol/jblu
NVCR	NovoCure Limited	57.43	5499868601.82	n/a	2015	Health Care	Medical/Dental Instruments	https://www.nasdaq.com/symbol/nvcr
OLLI	Ollie&#39;s Bargain Outlet Holdings, Inc.	86.55	5494531371.9	n/a	2015	Consumer Services	Department/Specialty Retail Stores	https://www.nasdaq.com/symbol/olli
ZNGA	Zynga Inc.	5.87	5490109930.34	n/a	2011	Technology	EDP Services	https://www.nasdaq.com/symbol/znga
ASND	Ascendis Pharma A/S	120.65	5438216346.05	45074317	2015	Health Care	Major Pharmaceuticals	https://www.nasdaq.com/symbol/asnd
RP	RealPage, Inc.	56.93	5385201521.91	n/a	2010	Technology	Computer Software: Prepackaged Software	https://www.nasdaq.com/symbol/rp
IQ	iQIYI, Inc.	18.01	5362582534.32	297755832	2018	Consumer Services	Consumer Electronics/Video Chains	https://www.nasdaq.com/symbol/iq
MPWR	Monolithic Power Systems, Inc.	124.25	5349832250	n/a	2004	Technology	Semiconductors	https://www.nasdaq.com/symbol/mpwr
